agent,n,success_rate,goal_err_median,goal_err_p90,place_err_median_m,within_10cm,infer_ms_per_stroke,net_rate,out_rate,err_land_x,err_land_y,err_speed,err_topspin,err_sidespin,family,n_train,wall_seconds,demo_iters,demo_pop,eval_n,robust_k,robust_weight
mdn+rank,3000,0.9576666666666668,0.2630846496366252,0.4906570434666366,0.1126825078195678,0.4305603898364079,0.00126333332931,0.0,0.0423333333333333,0.0997466423270142,0.0327609273237323,0.8713502865735592,69.0340838587424,78.40369808127235,mdn+rank,200000,0.3,5.0,64.0,3000,0.0,0.25
cem-oracle,3000,0.997,0.3605911142763851,0.6192753551491513,0.18731499402489427,0.1815446339017051,45.66295626666397,0.0003333333333333333,0.001,0.1364108539702994,0.0809006723821702,0.8483122822507703,86.10907621148982,94.67347077503283,oracle,0,137.7,8.0,256.0,3000,8.0,0.25
knn,3000,0.7893333333333333,0.30850159803042665,0.5216956780515208,0.2525244942208412,0.12964527027027026,0.037556533313666776,0.034333333333333334,0.17566666666666667,0.18541608790374015,0.10679252578984816,0.6207071632810293,46.71817335737262,46.89716152920228,knn (hq+robust demos),20000,0.5,8.0,256.0,3000,8.0,0.25
knn,3000,0.833,0.2618351160929852,0.4653645708789391,0.19807966694424364,0.19687875150060025,0.36635446664877236,0.026333333333333334,0.14066666666666666,0.14968318010913872,0.07605264890550448,0.617432315261822,42.87634161261471,47.44039655627921,knn (hq+robust demos),200000,1.5,8.0,256.0,3000,8.0,0.25
surrogate-cem-uniform,3000,0.0026666666666666666,0.9622548952319896,1.1598098379252082,0.8325197356414,0.0,0.20964880000489455,0.0023333333333333335,0.9946666666666667,0.6945096027770433,0.13905527779982252,11.37246223478819,16.993131762935633,53.42857653926323,surrogate-cem-uniform,20000,1.2,8.0,256.0,3000,8.0,0.25
surrogate-grad-uniform,3000,0.09066666666666667,0.7195323353097199,1.1104381858154677,0.5213869735248395,0.011029411764705883,0.09454396665872386,0.07366666666666667,0.7593333333333333,0.3440124409101124,0.2976609117148699,1.551233543667045,108.67573979869505,145.29916604608798,surrogate-grad-uniform,20000,0.7,8.0,256.0,3000,8.0,0.25
surrogate-cem,3000,0.3516666666666667,0.594051717442251,0.9295116721920098,0.47521106942365193,0.02843601895734597,0.07533986668568105,0.011666666666666667,0.6256666666666667,0.3858447243709643,0.17161248131579698,0.624061572411466,105.38780443249829,131.14112339118074,surrogate-cem,20000,0.5,8.0,256.0,3000,8.0,0.25
surrogate-grad,3000,0.26066666666666666,0.7451621550908627,1.2023700138575164,0.5931312977561454,0.014066496163682864,0.0895865666680038,0.043333333333333335,0.6693333333333333,0.37744739491617263,0.3205280111706683,0.8373357047847403,116.58771444773538,158.1722932429322,surrogate-grad,20000,0.6,8.0,256.0,3000,8.0,0.25
policy-mlp,3000,0.8466666666666667,0.23641681890848915,0.4383956880302671,0.17788262109367053,0.2574803149606299,0.0003790333090970914,0.008666666666666666,0.14366666666666666,0.15218361346213294,0.053313671714133204,0.5479590764298448,38.454809246286246,55.283249018248796,policy-mlp (hq+robust demos),20000,0.3,8.0,256.0,3000,8.0,0.25
mdn,3000,0.9086666666666666,0.20118776951322997,0.38705710348767586,0.11328085367006915,0.43947175348495965,0.0011633999723320207,0.019666666666666666,0.06833333333333333,0.09188227528512438,0.035765220058761246,0.5657460132854641,38.623698819833685,43.99125780865332,mdn (hq+robust demos),20000,0.3,8.0,256.0,3000,8.0,0.25
mdn+rank,3000,0.867,0.27663685170308794,0.4602464730505443,0.14314544695122922,0.328719723183391,0.0010373999830335379,0.021,0.10933333333333334,0.11836008156086941,0.041211651832050805,0.63963143811465,68.05506368862945,87.36741216095314,mdn+rank (hq+robust demos),20000,0.3,8.0,256.0,3000,8.0,0.25
surrogate-cem-uniform,3000,0.32966666666666666,0.7252994076238363,1.1106850710417053,0.5987828066577064,0.027300303336703743,0.07645939996776482,0.0003333333333333333,0.6693333333333333,0.4816455699859054,0.23042609013036092,1.340990495758029,176.3783388942689,89.81835051972388,surrogate-cem-uniform,200000,0.9,8.0,256.0,3000,8.0,0.25
surrogate-grad-uniform,3000,0.422,0.8775764839701118,1.3731465874384012,0.6206124642947344,0.018957345971563982,0.09086759997686993,0.034666666666666665,0.5303333333333333,0.344840027202106,0.36470660375506614,1.213720719079129,161.76271774983576,152.96235954706043,surrogate-grad-uniform,200000,0.8,8.0,256.0,3000,8.0,0.25
surrogate-cem,3000,0.8856666666666667,0.515009252531661,0.8261141555784524,0.33041565449757504,0.07452013549115544,0.07523576666911443,0.019,0.09166666666666666,0.23923493739056,0.13692057905889163,0.9945661601879614,111.16125878925527,99.88502715704604,surrogate-cem,200000,0.7,8.0,256.0,3000,8.0,0.25
surrogate-grad,3000,0.649,0.684640927880554,1.114119915412331,0.43337340628900095,0.03492552645095018,0.0894313333556056,0.09233333333333334,0.22733333333333333,0.26791227409600094,0.23095310618682308,1.0683277866474121,150.52146261842978,150.83335974952757,surrogate-grad,200000,0.8,8.0,256.0,3000,8.0,0.25
policy-mlp,3000,0.8516666666666667,0.17707937932677745,0.3696450558312154,0.11782817660987474,0.43796477495107633,0.0003706333227455616,0.0026666666666666666,0.14566666666666667,0.10994661463623046,0.02975752657136066,0.5067278078550137,34.229732584516626,43.75501685063085,policy-mlp (hq+robust demos),200000,0.3,8.0,256.0,3000,8.0,0.25
mdn,3000,0.9773333333333334,0.16966334968330227,0.38030646457694167,0.07034021121302567,0.6739427012278308,0.00044779999492069084,0.0006666666666666666,0.022,0.06245664006211993,0.019237344606862633,0.5663464716611282,42.336571671163924,38.26213359161619,mdn (hq+robust demos),200000,0.3,8.0,256.0,3000,8.0,0.25
mdn+rank,3000,0.9243333333333333,0.17613098572863137,0.42829066635162466,0.07876923638361708,0.6134150739271547,0.0011357333278283477,0.009333333333333334,0.06633333333333333,0.07129866703045351,0.021114384635054856,0.593912677427519,44.35955020883031,42.60112640896327,mdn+rank (hq+robust demos),200000,0.4,8.0,256.0,3000,8.0,0.25
